PublishedAt,Title,description
2017-05-09T11:24:00Z,Moon Jae-in Is Poised to Win South Korea’s Presidency,"South Korean voters were poised to elect Moon Jae-in as the country’s next leader, exit polls show, ending nine years of conservative rule and bringing to power a forceful advocate for closer ties with North Korea."
2017-05-09T09:30:00Z,Investors Shift Bets From U.S. Stocks to Europe at Fast Clip,"Investors are pulling money out of the U.S. stock market at one of the highest rates in years, scaling back a long-held bet that U.S. growth would bring superior returns. Much of the money is going to Europe."
2017-05-09T12:00:00Z,Business-School Rankings Stir New Rancor,Business-school deans and research faculty at more than 20 universities are taking a stand against the academic rankings published by media outlets.
2017-05-09T09:30:00Z,The Never-Ending Performance Review,"As companies move from annual performance reviews to more frequent evaluations, workers and bosses are coping with a flood of feedback. ‘Why isn’t once a year enough?’"
2017-05-08T19:25:00Z,Sally Yates Warned That Mike Flynn Misled Officials About Contact With Russian Envoy,"Former acting Attorney General Sally Yates told Congress she had warned a top White House official that then-national security adviser Mike Flynn had misled the vice president and others about his conversations with a top Russian diplomat, and that it had put him at risk of blackmail."
2017-05-08T20:02:00Z,Macron’s Brand New Party Shoots for Parliament Takeover,"After winning his bid to lead France, Emmanuel Macron got to work Monday on his next challenge: winning control of its parliament."
2017-05-09T12:00:00Z,Southwest Looks to Pilot Pain-Free Systems Upgrade,"Southwest Airlines Co. on Tuesday plans to move from its 30-year-old reservations system to a new technology platform, providing capabilities its rivals have been using for years."
2017-05-08T16:57:00Z,Why Do Gas Station Prices Constantly Change? Blame the Algorithm,"Retailers are using artificial-intelligence software to set optimal prices, which are sometimes higher than competitors. Some antitrust experts say such systems could raise prices for consumers."
2017-05-09T09:30:00Z,Boston’s Real-Estate Market Is Poised for a Boom,GE is moving its headquarters to Boston as roughly 14 million square feet of new space is being developed in the city amid a historic real estate boom.
2017-05-09T09:30:00Z,"In Russia, Leaked Documents Rattle the Kremlin",Russian domestic politics are being influenced by hacking tactics similar to ones Russia is accused of using to try to weaken its foreign opponents.
2017-05-09T10:08:32Z,"The five fights Republicans will have on health care
The five fights Republican senators will have on health care","Despite President Donald Trump's celebration in the White House Rose Garden last week, Republicans still have a long way to go before they can finally make good on their promise to dismantle Obamacare."
2017-05-09T12:53:48Z,"Jimmy Kimmel returns to talk health care, his son and reaction to his speech","Jimmy Kimmel returned to ""Jimmy Kimmel Live!"" on Monday night a week after making a heartfelt speech about his newborn son."
2017-05-09T14:12:56Z,GOP congressman: Republicans were 'irresponsible' to celebrate AHCA passage at White House,"Wisconsin Rep. Mike Gallagher said Monday that his fellow Republicans were ""irresponsible"" for celebrating the House's passage of the American Health Care Act at the White House."
2017-05-09T14:02:08Z,GOP defends having no women in health care group,Senate Republicans announced a group of 13 male senators who will be responsible for crafting health care legislation
2017-05-08T18:13:21Z,GOP's message to Americans: You're on your own,"While the GOP's latest itieration of a healthcare bill is unlikely to become law, Laurie Garrett writes it is an awful harbinger of what is to come when one party controls all of three branches of government."
2017-05-09T13:17:12Z,Canadian journalist asked to leave 'Kushner family event' in China,"After seeing advertisements for what was described as a ""Kushner event featuring Jared's sister,"" a Canadian reporter decided to attend. Then she was asked to leave."
2017-05-09T13:28:24Z,"After Yates, more questions for the White House",Sally Yates didn't bring a smoking gun to the latest episode of the long-running political melodrama entwining the White House and Russia.
,Congressman walks out of interview - CNN Video,Congressman Rod Blum walks out of an interview with an Iowa television station after the reporter's second question.
2017-05-09T13:44:23Z,Latest on Afghanistan options expected to hit Trump's desk this week,The final proposals for a planned troop increase in Afghanistan are expected to cross President Donald Trump's desk this week.
2017-05-09T13:27:02Z,South Korea election: Exit poll points to Moon Jae-in win,"Moon Jae-in is on course to win the South Korean presidential election, according to an exit poll conducted by the country's three major broadcasters."
2017-05-09T06:36:43Z,"Obama Warned Trump About Hiring Flynn, Officials Say",Former President Barack Obama warned Donald J. Trump in their conversation in the Oval Office two days after the election.
2017-05-09T06:30:37Z,6 Takeaways From Monday’s Senate Hearing on Russia,Sally Q. Yates and James R. Clapper Jr. testified at a hearing that was focused on when the White House knew about conversations that Michael T. Flynn had with the Russian ambassador.
2017-05-08T13:35:53Z,E.P.A. Dismisses Members of Major Scientific Review Board,A spokesman for the agency’s administrator said he would consider replacing the academic scientists with representatives from industries the agency is supposed to regulate.
2017-05-08T16:22:00Z,Patrick Buchanan Reveals Himself to Be the First Trumpist,"In “Nixon’s White House Wars,” it’s Patrick Buchanan, not Nixon, who emerges as the most intriguing character in the entertaining book."
2017-05-09T05:06:32Z,Tiffany Trump Will Attend Georgetown Law,"The 23-year-old daughter of President Trump and Marla Maples, his second wife, will follow in the steps of two of her siblings."
2017-05-09T14:15:04Z,Why Everything We Know About Salt May Be Wrong,"Research on Russian cosmonauts suggests that salt makes you hungry but not thirsty, and may help burn calories."
2017-05-09T00:21:19Z,The Birth of a Mother,Becoming a mother is one of the most significant physical and psychological changes a woman will ever experience.
2017-05-08T13:33:00Z,Macron Decisively Defeats Le Pen in French Presidential Race,Emmanuel Macron’s victory suggested that his call for a new centrist approach to politics had handily defeated the nationalism of Marine Le Pen.
2017-05-08T15:29:07Z,Life and Combat for Republicans at Berkeley,Five Berkeley Republicans describe what it’s like to be conservative in a bastion of American liberalism.
2017-05-08T11:38:35Z,Trump to Announce Slate of Conservative Federal Court Nominees,The nominations of 10 judges to the lower courts are the first in what could be near monthly waves of announcements to fill more than 120 vacancies.
2017-05-08T11:30:00Z,U.S. poised to expand military effort against Taliban in Afghanistan,"An intensified military campaign, if approved by President Trump, would aim to push militants to the negotiating table."
2017-05-08T11:07:00Z,Analysis | 5 things we learned from Sally Yates’s testimony on what the White House knew about Michael Flynn,"No. 1: Trump's national security adviser lied about Russia, and it opened him up to potential blackmail from Russia."
2017-05-09T08:00:00Z,Analysis | Trump’s pointing of the finger at Obama for failing to vet Flynn,The president and his aides claim that Obama gave a security clearance to Flynn. But there's less than meets the eye.
2017-05-08T11:32:00Z,Analysis | Sean Spicer’s admission: Trump dismissed Obama’s warning about Michael Flynn as sour grapes,Trump's winners-versus-losers worldview may have cost him in the Flynn fiasco.
2017-05-08T16:47:00Z,Iowa congressman walks out of a TV interview and into an angry town hall meeting,"Rod Blum then tells The Post that the GOP health-care bill “isn’t a repeal and replace. This is Obamacare 2.0."""
2017-05-09T12:41:00Z,The Health 202: Republicans are just starting the hard part on health care,Five things to watch in the Senate
2017-05-09T06:57:00Z,"Jimmy Kimmel slams critics of his emotional health-care plea, calls out Newt Gingrich","""I would like to apologize for saying that children in America should have health care, it was insensitive,"" Kimmel deadpanned."
2017-05-08T10:39:00Z,President Trump’s lawyers on revised travel ban repeatedly asked about campaign promises,The 4th Circuit considers the legality of the entry ban that opponents say discriminates against Muslims.
2017-05-09T07:30:00Z,"Italian forces ignored a sinking ship full of Syrian refugees and let more than 250 drown, says leaked audio",Recordings leaked to an Italian magazine suggest Italy illegally refused to help.
2017-05-09T12:17:00Z,Exit polls suggest liberal Moon has won the South Korean presidential election,"The liberal Moon Jae-in wants more engagement with North Korea, possibly setting up tensions with Washington."
2017-05-09T13:30:11+00:00,Jeremy Corbyn says elites want to 'hijack Brexit',"Labour's leader vows to go after ""tax cheats"" but declines to categorically say he would take Britain out of the EU."
2017-05-09T13:31:30+00:00,Jeremy Corbyn on whether the UK will definitely leave the EU,Jeremy Corbyn is pressed by Laura Kuenssberg on whether the UK would definitely leave the EU if he becomes PM.
2017-05-09T14:03:15+00:00,Aine Davis guilty of being senior Islamic State member,Londoner Aine Davis suspected of being close associate of man known as Jihadi John.
2017-05-09T13:41:13+00:00,General election: May defends plan to cap 'rip-off energy bills',"Theresa May says plans for an energy price cap are not a repeat of an old Labour ""Marxist"" policy."
2017-05-09T12:21:17+00:00,Marine A: 'Only those present know the full story',Blackman received a life sentence in 2013 but his murder conviction was reduced to manslaughter.
2017-05-09T09:22:39+00:00,Husband slept in same room as wife's body for six days,Heartbroken widower Russell Davison says he wants to challenge attitudes towards death.
2017-05-09T09:53:58+00:00,Who is the new Strictly Come Dancing judge?,The BBC announces Len Goodman's replacement - and it's not Anton Du Beke.
2017-05-09T12:28:59+00:00,South Korea presidency 'won by liberal Moon Jae-in',"The election has been won by Moon Jae-in, who backs talks with the North, an exit poll suggests."
2017-05-09T13:10:19+00:00,UK asked to send more troops to Afghanistan,"Nato asks Britain to consider sending more troops to Afghanistan, the BBC understands."
2017-05-09T09:40:52+00:00,Chris Froome: Team Sky rider 'rammed on purpose' by car in France,Britain's three-time Tour de France winner Chris Froome claims he was deliberately driven into by a car while out riding near his Monaco home.
2017-05-09T12:46:08Z,Budget 2017: Winners and losers,Find out who scores and who misses out in Treasurer Scott Morrison's second budget.
2017-05-09T12:10:15Z,"Australians to pay more tax, banks slugged with billions in fees",Almost all Australians will pay more tax in a surprise budget hit and thousands of Centrelink clients will be drug tested.
2017-05-09T11:37:07Z,It turns out Turnbull is really quite good at tidying up old messes,"You can tell a lot about a budget by looking at who it punishes. This one basically targets anyone who's ever appeared on A Current Affair accompanied by a low, menacing soundtrack, writes Annabel Crabb"
2017-05-09T12:53:42Z,Big banks bear the brunt of budget balancing act,"Australia's big banks will wear the lion's share of budget repair, with a new tax on much of their funding."
2017-05-09T11:39:48Z,Budget reflects radical overhaul in Coalition thinking,"Scott Morrison has seen the future and it's unsettling enough to have prompted a shift in Coalition thinking, writes Ian Verrender."
2017-05-09T09:47:41Z,"Budget sliced and diced: Where every dollar comes from, and how it's spent",Explore where the Government gets its money and how it's all spent.
2017-05-09T11:43:48Z,Your budget cheat sheet (so you know why everyone's paying more tax),We've dug through the budget papers to find all the important bits so you don't have to.
2017-05-09T11:41:36Z,Budget lacks the silver bullet needed to slay Australia's housing vampire,"If the budget makes any difference to housing affordability it may take a microscope to see it, writes Michael Janda."
2017-05-09T11:45:58Z,Morrison embraces 'good debt' with strangely Labor budget,"Scott Morrison is burying the ghosts of past fiscal thinking and embracing policies that could come from the books of former Labor treasurers, writes Stephen Long"
2017-05-09T09:28:24Z,Qantas chief Alan Joyce gets pie in face in Perth,Qantas chief executive Alan Joyce has a lemon meringue pie launched at his face during a business breakfast event in Perth.
,Moon set to win South Korean presidency,None
,Macron win earns Europe a reprieve from populism,None
,Ex-French PM Valls says Socialist party is dead,None
,Trump was warned twice on risk of Russia blackmailing Flynn,None
,Goldman shakes up investment bank leadership,None
,Wall Street’s fear gauge at lowest level since 1993,None
,US shale groups roar back to life after oil slump,None
,Earnings growth rebound justifies Wall St run,None
,Why paternal age matters to children’s health,None
,Elliott takes legal action to oust Akzo chairman,None
2017-05-08T23:12:42.568Z,Here’s What Some of the World’s Top Money Managers Are Betting On,"Money managers including David Einhorn and Bill Ackman descended on New York’s Lincoln Center on Monday where about 3,000 people gathered at the annual Sohn Investment Conference, one of the hedge fund industry’s marquee events, to hear the latest trade picks."
2017-05-09T09:00:28.914Z,Puerto Rico Must Not Waste Its Second Chance,Restructuring debt is just the first painful step on the road to recovery.
2017-05-09T11:26:42.184Z,This Is the 5-Word Message That Got a Citigroup Trader Fired,A five-word message to a rival banker was enough to cost former Citigroup Inc. trader David Madaras his job as the bank fought to appease regulators probing the foreign-exchange scandal engulfing the industry.
2017-05-08T19:35:41.44Z,A New Paper Just Took a Huge Shot at Some of the World's Hottest Investments,"Just about every week, some researcher reports finding another statistical quirk in the equity market that might be harvested for a trading edge. Now a new paper says most of them don’t work as billed."
2017-05-08T22:03:30.49Z,The Kushner Project Touted in China Is in Trouble at Home,"When Jared Kushner’s sister took the stage in two Chinese ballrooms over the weekend to urge investors to fund a New Jersey development through a controversial visa program, she mentioned her brother’s role in the White House and displayed a photo of President Donald Trump. It was a not-so-subtle signal that hers is a family company with connections."
2017-05-09T04:13:01.318Z,"Goldman Says Fed Hikes, Commodity Gains to Come Hand-in-Hand","Commodities investors needn’t fear the Federal Reserve. Raw materials perform best when the U.S. central bank is hiking rates, according to Goldman Sachs Group Inc., which used the findings of a study to buttress its overweight call on the asset class while acknowledging risks to its view."
2017-05-09T09:00:14.392Z,Fyre Festival $100 Million Suit Targets Investors Behind the Scenes,Lawyers suing over the Bahamas disaster call the app maker’s $90 million valuation “untethered” to reality.
2017-05-09T09:00:09.007Z,He Blew the Whistle on a Silicon Valley Highflier. Then Came the Blowback,Francisco Riordan says he helped expose Rothenberg Ventures to the SEC. It’s a touchy subject in job interviews.
2017-05-09T02:23:20.838Z,China Deleveraging Pain Puts Investors on Contagion Alert,"What may be shaping up as China’s most concerted effort yet to bring its credit boom under control is spurring investors to gauge any contagion to broader financial markets, a-la 2015, when Chinese turmoil caused global ructions."
2017-05-09T09:00:00.008Z,Penn Station Chaos Confronts One of Trump’s Infrastructure Czars,"President Donald Trump tapped New York developer Steven Roth as one of his top private-sector advisers on fixing roads, bridges and airports. One of the nation’s most pressing bottlenecks is a familiar one -- untangling the Gordian infrastructure knot that is New York’s Pennsylvania Station."
2017-05-08T22:53:34+00:00,Sally Yates says she warned the White House about Michael Flynn,The then acting attorney-general feared Donald Trump's national security adviser could have been open to blackmail by Russia
2017-05-08T19:40:48+00:00,Where Emmanuel Macron’s support came from,The former banker staved off a nationalist uprising
2017-05-06T04:00:00+00:00,Sisi takes on Egypt’s judiciary,The latest effort to muzzle independent bodies
2017-05-08T15:00:00+00:00,Why South Korea’s election matters,The next president will need to ease unresolved tensions at home and abroad
2017-05-09T11:27:54+00:00,Galicia’s disputed Celtic heritage,The region considers itself a natural member of the Celtic League. That has proved contentious
2017-05-09T00:00:00+00:00,A brief history of one-nation Conservatism,The phrase—and its application—have evolved since Benjamin Disraeli coined it in 1837
2017-05-08T17:15:55+00:00,"A lesson in parkonomics, for Jeremy Corbyn",Abolishing charges in hospitals is a terrible idea
2017-05-08T14:21:04+00:00,When flyers end up in the wrong cities,And whom to blame
2017-05-08T13:35:08+00:00,A minister’s faith complicates Canada’s relations with India,How Harjit Sajjan’s Sikhism became a political issue
2017-05-05T16:34:25+00:00,Who best protects megafauna?,Tourists really do seem to help to preserve wild animals
PublishedAt,Title,description
2017-05-09T21:50:00Z,Trump Fires James Comey as FBI Chief,"President Donald Trump fired James Comey as director of the Federal Bureau of Investigation, citing his handling of the investigation into Hillary Clinton’s email server. The dismissal ignited a firestorm over how the decision would impact the agency’s investigation into possible collusion between the Trump campaign and Russia."
,"White House, Justice Department Statements",None
